measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,147,Libya,3,Both,8,15 to 19,493,Ischemic heart disease,3,Rate,2015,7.763365675897652,10.535896508811051,5.529465648418191
1,Deaths,147,Libya,3,Both,9,20 to 24,493,Ischemic heart disease,3,Rate,2015,12.294225829040839,16.80890796106195,9.009131572802376
1,Deaths,147,Libya,3,Both,10,25 to 29,493,Ischemic heart disease,3,Rate,2015,20.460710893477252,26.80561554071556,15.400553068656096
1,Deaths,147,Libya,3,Both,11,30 to 34,493,Ischemic heart disease,3,Rate,2015,29.102782253052045,38.502731709966234,21.6771564400479
1,Deaths,147,Libya,3,Both,12,35 to 39,493,Ischemic heart disease,3,Rate,2015,40.62709430354299,52.42641384057299,30.88160108318176
1,Deaths,147,Libya,3,Both,13,40 to 44,493,Ischemic heart disease,3,Rate,2015,67.32046460018572,84.80416661488499,53.21432239982765
1,Deaths,147,Libya,3,Both,14,45 to 49,493,Ischemic heart disease,3,Rate,2015,109.89425755141963,133.9708395323557,89.24513790887255
1,Deaths,147,Libya,3,Both,15,50 to 54,493,Ischemic heart disease,3,Rate,2015,161.24995851050787,190.7333370019033,133.60659524205258
1,Deaths,147,Libya,3,Both,16,55 to 59,493,Ischemic heart disease,3,Rate,2015,247.88672413274605,287.5198721627289,209.3016631597066
1,Deaths,147,Libya,3,Both,17,60 to 64,493,Ischemic heart disease,3,Rate,2015,545.428755530245,630.3519019433056,463.1299820187684
1,Deaths,147,Libya,3,Both,18,65 to 69,493,Ischemic heart disease,3,Rate,2015,784.5870263978155,904.1015823338182,672.663924472323
1,Deaths,147,Libya,3,Both,19,70 to 74,493,Ischemic heart disease,3,Rate,2015,1323.3100123579802,1507.0648277535506,1144.1384691216151
1,Deaths,147,Libya,3,Both,20,75 to 79,493,Ischemic heart disease,3,Rate,2015,1947.2742874360083,2206.247732673836,1677.4340486807384
1,Deaths,147,Libya,3,Both,30,80 to 84,493,Ischemic heart disease,3,Rate,2015,3040.4432304522984,3464.3874949372216,2609.6023077055556
1,Deaths,147,Libya,3,Both,31,85 to 89,493,Ischemic heart disease,3,Rate,2015,5043.276905580427,5702.41695177039,4418.14153741975
1,Deaths,147,Libya,3,Both,32,90 to 94,493,Ischemic heart disease,3,Rate,2015,8380.409502847271,9321.914145147584,7418.865599659784
1,Deaths,147,Libya,3,Both,235,95 plus,493,Ischemic heart disease,3,Rate,2015,14522.37549743169,15969.550830069804,12936.002585921307
1,Deaths,147,Libya,3,Both,1,Under 5,494,Stroke,3,Rate,2015,5.32094604700856,8.55595769101025,2.9748746415228755
1,Deaths,147,Libya,3,Both,6,5 to 9,494,Stroke,3,Rate,2015,1.9474526068620412,3.120654652795626,1.0242462537225832
1,Deaths,147,Libya,3,Both,7,10 to 14,494,Stroke,3,Rate,2015,2.3402196696958772,3.4028100673434256,1.4718917927676136
